Penulis,Komentar
@ntarja8618,Halah nonton ini doang gw merem juga langsung tidur 
@Adaaaww,"Aku suka yang baju ungu, tapi dia jatuh ter pleset Lina kamu cantik banget pengen jadi pacar nya ya AIIah semoga dipertemukan dengannya"
@arkananoerida2140,10/10
@kenzblekok7730,Aneh jir karakternya mana beli lagi padahal bujet nya udah besar kualitasnya turun drastis
@vaelstromzy,pakai duit miliaran cuma untuk ini sybau
@AchmadRizani-d1u,Mending film si Unyil
@sunandar6739,BENDERA INI WOY TINGGAL BELI APA SUSAHNYAAA
@erik_rorr,Burix banget anj kaya grafik epep
@Dom_sky,Modal 6m Bagus nya apa Cok wkwk
@sugionosugi5067,"Burung suara monyet , gokil"
@SomaSja,dan uang buat bikin filmnya aja 6.7 m rupiah lagi
@andimixxx,yg bilang bagus hanya buzzer!
@Josuke-higashikata-h4b,0:44 Aduhh kebelet eek
@AfifahQaireenSusanto,Kenapa kagak beli di pasar kan lewat pasar
@AbahNurAliman,Menit 1:00 sama 1:01 jatuh nya dimana nyemplung nya dimana
@cheffielore,oposeh iki 
@mako595,Gua lebih milih liat leptop si Unyil
@zaldeeen,jelek bgt wkwkwk.
@sitikomariah8411,Beta bhuka gudhang bendheranya hilang
@bobohojelek2134,"Njir 6.7 M kyak gini filmnya? Korupsi macam apa lagi ini, korupsi udh mendarah daging cokkk"
@QiuQiuChannel-ni3xj,Buset jelek amat terus d gudangnnya kok ada rak penuh senjata ya!? 
@NailahNadiah,Tai film tai
@kurohise8801,"bagus, aku tertarik, tapi di kota ku engga tayang :("
@Zunda-kun,Animasi pekob masih lebih bagus co 
@EkaSaputra-j2u,Gw udah ubah ke resolusi paling tinggi kok masih gini gambarnya guys
@MettaNararya,Adek gw nangis habis nonton ini🫩
@KV-CHANEL-c9r,"Burik bet dan nih animasinya,,,cuman tulisan nya yg bagus"
@qidzunazahrotussyifa9174,Kalau dimalaysia ada lagu harimau Malaya maka di Indonesia ada Merah Putih hadeeeh
@permadidarren5881,Dikon kon nonton karo cak Yockie ae 
@WH4T-z5b,Jadi inget grafik ps2
@MS-po2oj,6 ribu 7 ratus juta untuk hasil film animasi yg sgt membangongkan
@3denym860,"di ig produser di sebut biaya pembuatan sampai 8 M, trus soundtracknya dipilih dari lomba bjirrrr"
@ElRumi-r1m,Tinggal cari toko aj malah dicari bodoh kali bah 
@muhammadauliawardhana9597,0:12 kaya NPC game tahun 80an
@Cheesec4k3_0,6.7 miliar jatuh di tangan yang salah  6.7 jatuh di tangan yang benar 
@DenioAzka,Padahal lewat pasar bukannya beli
@myouiiiissss,Najong bgt
@SomaSja,Film jumbo bagus: masa depan bilek:dah lah bikin yang jelek saja
@AmankTamin,0:38 hayooo siapa yg liat ada si AK
@CulisPs,Kayak kartun India yg aku bukan anak kecil paman. Panggil aku sipa
@That_one_matcha,Aku punya feeling kalo ini itu di sengaja in jelek trus full nya bakal jadi bagus bngt
@jjk_wife01,hasil dari dana besar malah ngerusak mata
@iezhandayani9574,Duh jd ingin ikut menghujat 
@endahliif7860,"Malu sama prindavan,animasi mereka 1000% lebih baik dr kita"
@aufarkachanel,Sedih filmnya
@ekinandairsandiekinanda5989,Burik anj
@skeptismistis,"JADI MALES NONTON DI BIOSKOP, MENDING NONTON DI APLIKASI."
@ayaaarchive,jelek banget maap
@JUSTICEISHE,0:42 Beta buka gudang ketemunya khutang
@aliongho2951,yg begini jangan di tampilkan dulu tunggu tahun depan kan bisa.hasilnya jadi di buat asal asalan
@IsroGanteng,"apa ini?, porno?"
@arzettaisalittle7617,Bikin ngilerrrrr4
@FieldTechnical,bikin takut
@marsasawaisabel-uu9vs,Bagusan dhot design
@SumiatiChanel-u7e,System hitamm
@rioarianto3774,Harus nya tayang di tv bukan di tv trailer nya aja kaya film 90an di tv kaya kartun sifa
@FadhilWafiq-v9e,"6,5 kok gini jelek amat"
@muhamadfitrifatjri,grafik 90an
@meilindapratiwi3078,Bendera banyak yang jual padahal :(
@FIRNASHR,rasanya pengen pindah negara
@hanan391GD,huhh.........udahlah aku capek sama negara aneh ini
@TF2GAMING_OFFICAL,Mending nonton demon slayer bah
@InaraJiko,Plis takut banget pas udh nonton
@BŁACKHOŁE-x5f,"Film buat bikin Bangga
Film buat bikin stiker "
@サヤコリゼン,GK bgt njirrr
@ftjhp4216,berhenti jangan lanjuut
@registabungawijaya,ASTAGFIRULLAH !!!
@Nevtynime,"Hmm kok ada airdrop !?  FF KAH INI
Kok burik amat & kaku

Saya harapkan film ini jadi film tidak ada yang nonton sama sekali di bioskop "
@fictionalcreaturess,"""Selesai ga selesai dikumpulkan"" Ahh "
@hikmahwibawa2782,"Orang Malaysia tertawa melihat ini, jadi bahan bully internasional."
@andikafernanda6624,masih mending animasi Adit Sopo Jarwo
@geraialfa7737,anak gue suruh nonton yang viral
@clipediahub,stopp jangan lyanjutt
